0.00,0.000
0.01,0.800
0.02,1.600
0.03,2.400
0.04,3.200
0.05,4.000
0.06,4.800
0.07,5.600
0.08,6.400
0.09,7.200
0.10,8.000
0.11,8.800
0.12,9.600
0.13,10.400
0.14,11.200
0.15,12.000
0.16,12.800
0.17,13.600
0.18,14.400
0.19,15.200
0.20,16.000
0.21,15.000
0.22,14.000
0.23,13.000
0.24,12.000
0.25,11.000
0.26,10.000
0.27,9.000
0.28,8.000
0.29,7.000
0.30,6.000
0.31,6.000
0.32,6.000
0.33,6.000
0.34,6.000
0.35,6.000
0.36,6.000
0.37,6.000
0.38,6.000
0.39,6.000
0.40,6.000
0.41,6.000
0.42,6.000
0.43,6.000
0.44,6.000
0.45,6.000
0.46,6.000
0.47,6.000
0.48,6.000
0.49,6.000
0.50,6.000
0.51,6.000
0.52,6.000
0.53,6.000
0.54,6.000
0.55,6.000
0.56,6.000
0.57,6.000
0.58,6.000
0.59,6.000
0.60,6.000
0.61,6.000
0.62,6.000
0.63,6.000
0.64,6.000
0.65,6.000
0.66,6.000
0.67,6.000
0.68,6.000
0.69,6.000
0.70,6.000
0.71,6.000
0.72,6.000
0.73,6.000
0.74,6.000
0.75,6.000
0.76,6.000
0.77,6.000
0.78,6.000
0.79,6.000
0.80,6.000
0.81,6.000
0.82,6.000
0.83,6.000
0.84,6.000
0.85,6.000
0.86,6.000
0.87,6.000
0.88,6.000
0.89,6.000
0.90,6.000
0.91,6.000
0.92,6.000
0.93,6.000
0.94,6.000
0.95,6.000
0.96,6.000
0.97,6.000
0.98,6.000
0.99,6.000
1.00,6.000
1.01,6.000
1.02,6.000
1.03,6.000
1.04,6.000
1.05,6.000
1.06,6.000
1.07,6.000
1.08,6.000
1.09,6.000
1.10,6.000
1.11,6.000
1.12,6.000
1.13,6.000
1.14,6.000
1.15,6.000
1.16,6.000
1.17,6.000
1.18,6.000
1.19,6.000
1.20,6.000
1.21,6.000
1.22,6.000
1.23,6.000
1.24,6.000
1.25,6.000
1.26,6.000
1.27,6.000
1.28,6.000
1.29,6.000
1.30,6.000
1.31,6.000
1.32,6.000
1.33,6.000
1.34,6.000
1.35,6.000
1.36,6.000
1.37,6.000
1.38,6.000
1.39,6.000
1.40,6.000
1.41,6.000
1.42,6.000
1.43,6.000
1.44,6.000
1.45,6.000
1.46,6.000
1.47,6.000
1.48,6.000
1.49,6.000
1.50,6.000
1.51,6.000
1.52,6.000
1.53,6.000
1.54,6.000
1.55,6.000
1.56,6.000
1.57,6.000
1.58,6.000
1.59,6.000
1.60,6.000
1.61,6.000
1.62,6.000
1.63,6.000
1.64,6.000
1.65,6.000
1.66,6.000
1.67,6.000
1.68,6.000
1.69,6.000
1.70,6.000
1.71,6.000
1.72,6.000
1.73,6.000
1.74,6.000
1.75,6.000
1.76,5.600
1.77,5.200
1.78,4.800
1.79,4.400
1.80,4.000
1.81,3.600
1.82,3.200
1.83,2.800
1.84,2.400
1.85,2.000
1.86,1.600
1.87,1.200
1.88,0.800
1.89,0.400
1.90,0.000
